County,Year,Quarter,Medication_Assisted_Treatment,beneficiaries,status,annotation,annotation_description,Date_of_Data
Alameda,2018,Q4,Buprenorphine,547,F,,,5/4/2023
Alameda,2019,Q1,Buprenorphine,562,F,,,5/4/2023
Alameda,2019,Q2,Buprenorphine,656,F,,,5/4/2023
Alameda,2019,Q3,Buprenorphine,633,F,,,5/4/2023
Alameda,2019,Q4,Buprenorphine,680,F,,,5/4/2023
Alameda,2020,Q1,Buprenorphine,738,F,,,5/4/2023
Alameda,2020,Q2,Buprenorphine,735,F,,,5/4/2023
Alameda,2020,Q3,Buprenorphine,714,F,,,5/4/2023
Alameda,2020,Q4,Buprenorphine,727,F,,,5/4/2023
Alameda,2021,Q1,Buprenorphine,766,F,,,5/4/2023
Alameda,2021,Q2,Buprenorphine,805,F,,,5/4/2023
Alameda,2021,Q3,Buprenorphine,792,F,,,5/4/2023
Alameda,2021,Q4,Buprenorphine,853,F,,,5/4/2023
Alameda,2022,Q1,Buprenorphine,914,F,,,5/4/2023
Alameda,2022,Q2,Buprenorphine,866,P,,,5/4/2023
Alameda,2022,Q3,Buprenorphine,952,P,,,5/4/2023
Alameda,2022,Q4,Buprenorphine,993,P,,,5/4/2023
Amador / Alpine,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Amador / Alpine,2010,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Amador / Alpine,2010,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Amador / Alpine,2010,Q4,Buprenorphine,11,F,,,5/4/2023
Amador / Alpine,2011,Q1,Buprenorphine,11,F,,,5/4/2023
Amador / Alpine,2011,Q2,Buprenorphine,11,F,,,5/4/2023
Amador / Alpine,2011,Q3,Buprenorphine,12,F,,,5/4/2023
Amador / Alpine,2011,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Amador / Alpine,2012,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Amador / Alpine,2012,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Amador / Alpine,2012,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Amador / Alpine,2012,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Amador / Alpine,2013,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Amador / Alpine,2013,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Amador / Alpine,2013,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Amador / Alpine,2013,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Amador / Alpine,2014,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Amador / Alpine,2014,Q2,Buprenorphine,13,F,,,5/4/2023
Amador / Alpine,2014,Q3,Buprenorphine,16,F,,,5/4/2023
Amador / Alpine,2014,Q4,Buprenorphine,15,F,,,5/4/2023
Amador / Alpine,2015,Q1,Buprenorphine,21,F,,,5/4/2023
Amador / Alpine,2015,Q2,Buprenorphine,25,F,,,5/4/2023
Amador / Alpine,2015,Q3,Buprenorphine,23,F,,,5/4/2023
Amador / Alpine,2015,Q4,Buprenorphine,24,F,,,5/4/2023
Amador / Alpine,2016,Q1,Buprenorphine,31,F,,,5/4/2023
Amador / Alpine,2016,Q2,Buprenorphine,33,F,,,5/4/2023
Amador / Alpine,2016,Q3,Buprenorphine,33,F,,,5/4/2023
Amador / Alpine,2016,Q4,Buprenorphine,28,F,,,5/4/2023
Amador / Alpine,2017,Q1,Buprenorphine,33,F,,,5/4/2023
Amador / Alpine,2017,Q2,Buprenorphine,38,F,,,5/4/2023
Amador / Alpine,2017,Q3,Buprenorphine,38,F,,,5/4/2023
Amador / Alpine,2017,Q4,Buprenorphine,36,F,,,5/4/2023
Amador / Alpine,2018,Q1,Buprenorphine,43,F,,,5/4/2023
Amador / Alpine,2018,Q2,Buprenorphine,48,F,,,5/4/2023
Amador / Alpine,2018,Q3,Buprenorphine,57,F,,,5/4/2023
Amador / Alpine,2018,Q4,Buprenorphine,63,F,,,5/4/2023
Amador / Alpine,2019,Q1,Buprenorphine,58,F,,,5/4/2023
Amador / Alpine,2019,Q2,Buprenorphine,61,F,,,5/4/2023
Amador / Alpine,2019,Q3,Buprenorphine,58,F,,,5/4/2023
Amador / Alpine,2019,Q4,Buprenorphine,58,F,,,5/4/2023
Amador / Alpine,2020,Q1,Buprenorphine,61,F,,,5/4/2023
Amador / Alpine,2020,Q2,Buprenorphine,59,F,,,5/4/2023
Amador / Alpine,2020,Q3,Buprenorphine,67,F,,,5/4/2023
Amador / Alpine,2020,Q4,Buprenorphine,67,F,,,5/4/2023
Amador / Alpine,2021,Q1,Buprenorphine,63,F,,,5/4/2023
Amador / Alpine,2021,Q2,Buprenorphine,74,F,,,5/4/2023
Amador / Alpine,2021,Q3,Buprenorphine,67,F,,,5/4/2023
Amador / Alpine,2021,Q4,Buprenorphine,70,F,,,5/4/2023
Amador / Alpine,2022,Q1,Buprenorphine,65,F,,,5/4/2023
Amador / Alpine,2022,Q2,Buprenorphine,77,P,,,5/4/2023
Amador / Alpine,2022,Q3,Buprenorphine,75,P,,,5/4/2023
Amador / Alpine,2022,Q4,Buprenorphine,70,P,,,5/4/2023
Butte,2010,Q1,Buprenorphine,49,F,,,5/4/2023
Butte,2010,Q2,Buprenorphine,50,F,,,5/4/2023
Butte,2010,Q3,Buprenorphine,50,F,,,5/4/2023
Butte,2010,Q4,Buprenorphine,52,F,,,5/4/2023
Butte,2011,Q1,Buprenorphine,54,F,,,5/4/2023
Butte,2011,Q2,Buprenorphine,50,F,,,5/4/2023
Butte,2011,Q3,Buprenorphine,59,F,,,5/4/2023
Butte,2011,Q4,Buprenorphine,67,F,,,5/4/2023
Butte,2012,Q1,Buprenorphine,64,F,,,5/4/2023
Butte,2012,Q2,Buprenorphine,59,F,,,5/4/2023
Butte,2012,Q3,Buprenorphine,71,F,,,5/4/2023
Butte,2012,Q4,Buprenorphine,71,F,,,5/4/2023
Butte,2013,Q1,Buprenorphine,73,F,,,5/4/2023
Butte,2013,Q2,Buprenorphine,77,F,,,5/4/2023
Butte,2013,Q3,Buprenorphine,77,F,,,5/4/2023
Butte,2013,Q4,Buprenorphine,66,F,,,5/4/2023
Butte,2014,Q1,Buprenorphine,85,F,,,5/4/2023
Butte,2014,Q2,Buprenorphine,112,F,,,5/4/2023
Butte,2014,Q3,Buprenorphine,136,F,,,5/4/2023
Butte,2014,Q4,Buprenorphine,147,F,,,5/4/2023
Butte,2015,Q1,Buprenorphine,156,F,,,5/4/2023
Butte,2015,Q2,Buprenorphine,199,F,,,5/4/2023
Butte,2015,Q3,Buprenorphine,227,F,,,5/4/2023
Butte,2015,Q4,Buprenorphine,222,F,,,5/4/2023
Butte,2016,Q1,Buprenorphine,255,F,,,5/4/2023
Butte,2016,Q2,Buprenorphine,258,F,,,5/4/2023
Butte,2016,Q3,Buprenorphine,276,F,,,5/4/2023
Butte,2016,Q4,Buprenorphine,297,F,,,5/4/2023
Butte,2017,Q1,Buprenorphine,280,F,,,5/4/2023
Butte,2017,Q2,Buprenorphine,317,F,,,5/4/2023
Butte,2017,Q3,Buprenorphine,344,F,,,5/4/2023
Butte,2017,Q4,Buprenorphine,343,F,,,5/4/2023
Butte,2018,Q1,Buprenorphine,376,F,,,5/4/2023
Butte,2018,Q2,Buprenorphine,388,F,,,5/4/2023
Butte,2018,Q3,Buprenorphine,394,F,,,5/4/2023
Butte,2018,Q4,Buprenorphine,427,F,,,5/4/2023
Butte,2019,Q1,Buprenorphine,496,F,,,5/4/2023
Butte,2019,Q2,Buprenorphine,496,F,,,5/4/2023
Butte,2019,Q3,Buprenorphine,483,F,,,5/4/2023
Butte,2019,Q4,Buprenorphine,517,F,,,5/4/2023
Butte,2020,Q1,Buprenorphine,579,F,,,5/4/2023
Butte,2020,Q2,Buprenorphine,625,F,,,5/4/2023
Butte,2020,Q3,Buprenorphine,619,F,,,5/4/2023
Butte,2020,Q4,Buprenorphine,654,F,,,5/4/2023
Butte,2021,Q1,Buprenorphine,667,F,,,5/4/2023
Butte,2021,Q2,Buprenorphine,654,F,,,5/4/2023
Butte,2021,Q3,Buprenorphine,687,F,,,5/4/2023
Butte,2021,Q4,Buprenorphine,684,F,,,5/4/2023
Butte,2022,Q1,Buprenorphine,703,F,,,5/4/2023
Butte,2022,Q2,Buprenorphine,723,P,,,5/4/2023
Butte,2022,Q3,Buprenorphine,682,P,,,5/4/2023
Butte,2022,Q4,Buprenorphine,676,P,,,5/4/2023
Calaveras,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2010,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2010,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2010,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2011,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2011,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2011,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2011,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2012,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2012,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2012,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2012,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2013,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2013,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2013,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2013,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2014,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2014,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2014,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2014,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2015,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2015,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Calaveras,2015,Q3,Buprenorphine,11,F,,,5/4/2023
Calaveras,2015,Q4,Buprenorphine,11,F,,,5/4/2023
Calaveras,2016,Q1,Buprenorphine,19,F,,,5/4/2023
Calaveras,2016,Q2,Buprenorphine,18,F,,,5/4/2023
Calaveras,2016,Q3,Buprenorphine,22,F,,,5/4/2023
Calaveras,2016,Q4,Buprenorphine,36,F,,,5/4/2023
Calaveras,2017,Q1,Buprenorphine,37,F,,,5/4/2023
Calaveras,2017,Q2,Buprenorphine,36,F,,,5/4/2023
Calaveras,2017,Q3,Buprenorphine,38,F,,,5/4/2023
Calaveras,2017,Q4,Buprenorphine,40,F,,,5/4/2023
Calaveras,2018,Q1,Buprenorphine,42,F,,,5/4/2023
Calaveras,2018,Q2,Buprenorphine,51,F,,,5/4/2023
Calaveras,2018,Q3,Buprenorphine,48,F,,,5/4/2023
Calaveras,2018,Q4,Buprenorphine,45,F,,,5/4/2023
Calaveras,2019,Q1,Buprenorphine,51,F,,,5/4/2023
Calaveras,2019,Q2,Buprenorphine,51,F,,,5/4/2023
Calaveras,2019,Q3,Buprenorphine,51,F,,,5/4/2023
Calaveras,2019,Q4,Buprenorphine,51,F,,,5/4/2023
Calaveras,2020,Q1,Buprenorphine,45,F,,,5/4/2023
Calaveras,2020,Q2,Buprenorphine,48,F,,,5/4/2023
Calaveras,2020,Q3,Buprenorphine,44,F,,,5/4/2023
Calaveras,2020,Q4,Buprenorphine,47,F,,,5/4/2023
Calaveras,2021,Q1,Buprenorphine,49,F,,,5/4/2023
Calaveras,2021,Q2,Buprenorphine,59,F,,,5/4/2023
Calaveras,2021,Q3,Buprenorphine,63,F,,,5/4/2023
Calaveras,2021,Q4,Buprenorphine,63,F,,,5/4/2023
Calaveras,2022,Q1,Buprenorphine,76,F,,,5/4/2023
Calaveras,2022,Q2,Buprenorphine,68,P,,,5/4/2023
Calaveras,2022,Q3,Buprenorphine,70,P,,,5/4/2023
Calaveras,2022,Q4,Buprenorphine,76,P,,,5/4/2023
Colusa,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2010,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2010,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2010,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2011,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2011,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2011,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2011,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2012,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2012,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2012,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2012,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2013,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2013,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2013,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2013,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2014,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2014,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2014,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2014,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2015,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2015,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2015,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2015,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2016,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2016,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2016,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2016,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2017,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2017,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2017,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2017,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2018,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2018,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2018,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2018,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2019,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2019,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2019,Q3,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2019,Q4,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Colusa,2020,Q1,Buprenorphine,14,F,,,5/4/2023
Colusa,2020,Q2,Buprenorphine,17,F,,,5/4/2023
Colusa,2020,Q3,Buprenorphine,14,F,,,5/4/2023
Colusa,2020,Q4,Buprenorphine,14,F,,,5/4/2023
Colusa,2021,Q1,Buprenorphine,16,F,,,5/4/2023
Colusa,2021,Q2,Buprenorphine,22,F,,,5/4/2023
Colusa,2021,Q3,Buprenorphine,20,F,,,5/4/2023
Colusa,2021,Q4,Buprenorphine,21,F,,,5/4/2023
Colusa,2022,Q1,Buprenorphine,21,F,,,5/4/2023
Colusa,2022,Q2,Buprenorphine,20,P,,,5/4/2023
Colusa,2022,Q3,Buprenorphine,20,P,,,5/4/2023
Colusa,2022,Q4,Buprenorphine,23,P,,,5/4/2023
Contra Costa,2010,Q1,Buprenorphine,23,F,,,5/4/2023
Contra Costa,2010,Q2,Buprenorphine,30,F,,,5/4/2023
Contra Costa,2010,Q3,Buprenorphine,30,F,,,5/4/2023
Contra Costa,2010,Q4,Buprenorphine,24,F,,,5/4/2023
Contra Costa,2011,Q1,Buprenorphine,24,F,,,5/4/2023
Contra Costa,2011,Q2,Buprenorphine,30,F,,,5/4/2023
Contra Costa,2011,Q3,Buprenorphine,33,F,,,5/4/2023
Contra Costa,2011,Q4,Buprenorphine,35,F,,,5/4/2023
Contra Costa,2012,Q1,Buprenorphine,45,F,,,5/4/2023
Contra Costa,2012,Q2,Buprenorphine,42,F,,,5/4/2023
Contra Costa,2012,Q3,Buprenorphine,43,F,,,5/4/2023
Contra Costa,2012,Q4,Buprenorphine,46,F,,,5/4/2023
Contra Costa,2013,Q1,Buprenorphine,46,F,,,5/4/2023
Contra Costa,2013,Q2,Buprenorphine,45,F,,,5/4/2023
Contra Costa,2013,Q3,Buprenorphine,52,F,,,5/4/2023
Contra Costa,2013,Q4,Buprenorphine,53,F,,,5/4/2023
Contra Costa,2014,Q1,Buprenorphine,173,F,,,5/4/2023
Contra Costa,2014,Q2,Buprenorphine,185,F,,,5/4/2023
Contra Costa,2014,Q3,Buprenorphine,200,F,,,5/4/2023
Contra Costa,2014,Q4,Buprenorphine,222,F,,,5/4/2023
Contra Costa,2015,Q1,Buprenorphine,243,F,,,5/4/2023
Contra Costa,2015,Q2,Buprenorphine,270,F,,,5/4/2023
Contra Costa,2015,Q3,Buprenorphine,273,F,,,5/4/2023
Contra Costa,2015,Q4,Buprenorphine,281,F,,,5/4/2023
Contra Costa,2016,Q1,Buprenorphine,290,F,,,5/4/2023
Contra Costa,2016,Q2,Buprenorphine,331,F,,,5/4/2023
Contra Costa,2016,Q3,Buprenorphine,353,F,,,5/4/2023
Contra Costa,2016,Q4,Buprenorphine,351,F,,,5/4/2023
Contra Costa,2017,Q1,Buprenorphine,372,F,,,5/4/2023
Contra Costa,2017,Q2,Buprenorphine,390,F,,,5/4/2023
Contra Costa,2017,Q3,Buprenorphine,427,F,,,5/4/2023
Contra Costa,2017,Q4,Buprenorphine,441,F,,,5/4/2023
Contra Costa,2018,Q1,Buprenorphine,470,F,,,5/4/2023
Contra Costa,2018,Q2,Buprenorphine,538,F,,,5/4/2023
Contra Costa,2018,Q3,Buprenorphine,571,F,,,5/4/2023
Contra Costa,2018,Q4,Buprenorphine,590,F,,,5/4/2023
Contra Costa,2019,Q1,Buprenorphine,625,F,,,5/4/2023
Contra Costa,2019,Q2,Buprenorphine,694,F,,,5/4/2023
Contra Costa,2019,Q3,Buprenorphine,727,F,,,5/4/2023
Contra Costa,2019,Q4,Buprenorphine,751,F,,,5/4/2023
Contra Costa,2020,Q1,Buprenorphine,842,F,,,5/4/2023
Contra Costa,2020,Q2,Buprenorphine,829,F,,,5/4/2023
Contra Costa,2020,Q3,Buprenorphine,772,F,,,5/4/2023
Contra Costa,2020,Q4,Buprenorphine,771,F,,,5/4/2023
Contra Costa,2021,Q1,Buprenorphine,784,F,,,5/4/2023
Contra Costa,2021,Q2,Buprenorphine,844,F,,,5/4/2023
Contra Costa,2021,Q3,Buprenorphine,857,F,,,5/4/2023
Contra Costa,2021,Q4,Buprenorphine,846,F,,,5/4/2023
Contra Costa,2022,Q1,Buprenorphine,824,F,,,5/4/2023
Contra Costa,2022,Q2,Buprenorphine,851,P,,,5/4/2023
Contra Costa,2022,Q3,Buprenorphine,849,P,,,5/4/2023
Contra Costa,2022,Q4,Buprenorphine,860,P,,,5/4/2023
Del Norte,2010,Q1,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Del Norte,2010,Q2,Buprenorphine,,F,1,cell suppressed for small numbers,5/4/2023
Del Norte,2010,Q3,Buprenorphine,15,F,,,5/4/2023
Del Norte,2010,Q4,Buprenorphine,14,F,,,5/4/2023
Del Norte,2011,Q1,Buprenorphine,13,F,,,5/4/2023
Del Norte,2011,Q2,Buprenorphine,15,F,,,5/4/2023
Del Norte,2011,Q3,Buprenorphine,17,F,,,5/4/2023
Del Norte,2011,Q4,Buprenorphine,17,F,,,5/4/2023
Del Norte,2012,Q1,Buprenorphine,19,F,,,5/4/2023
Del Norte,2012,Q2,Buprenorphine,17,F,,,5/4/2023
Del Norte,2012,Q3,Buprenorphine,16,F,,,5/4/2023
Del Norte,2012,Q4,Buprenorphine,17,F,,,5/4/2023
Del Norte,2013,Q1,Buprenorphine,18,F,,,5/4/2023
Del Norte,2013,Q2,Buprenorphine,21,F,,,5/4/2023
Del Norte,2013,Q3,Buprenorphine,18,F,,,5/4/2023
Del Norte,2013,Q4,Buprenorphine,18,F,,,5/4/2023
Del Norte,2014,Q1,Buprenorphine,32,F,,,5/4/2023
Del Norte,2014,Q2,Buprenorphine,35,F,,,5/4/2023
Del Norte,2014,Q3,Buprenorphine,38,F,,,5/4/2023
Del Norte,2014,Q4,Buprenorphine,42,F,,,5/4/2023
Del Norte,2015,Q1,Buprenorphine,55,F,,,5/4/2023
Del Norte,2015,Q2,Buprenorphine,59,F,,,5/4/2023
Del Norte,2015,Q3,Buprenorphine,73,F,,,5/4/2023
Del Norte,2015,Q4,Buprenorphine,71,F,,,5/4/2023
Del Norte,2016,Q1,Buprenorphine,69,F,,,5/4/2023
Del Norte,2016,Q2,Buprenorphine,80,F,,,5/4/2023
Del Norte,2016,Q3,Buprenorphine,79,F,,,5/4/2023
Del Norte,2016,Q4,Buprenorphine,90,F,,,5/4/2023
Del Norte,2017,Q1,Buprenorphine,97,F,,,5/4/2023
Del Norte,2017,Q2,Buprenorphine,93,F,,,5/4/2023
Del Norte,2017,Q3,Buprenorphine,95,F,,,5/4/2023
Del Norte,2017,Q4,Buprenorphine,99,F,,,5/4/2023
Del Norte,2018,Q1,Buprenorphine,98,F,,,5/4/2023
Del Norte,2018,Q2,Buprenorphine,103,F,,,5/4/2023
Del Norte,2018,Q3,Buprenorphine,111,F,,,5/4/2023
Del Norte,2018,Q4,Buprenorphine,122,F,,,5/4/2023
Del Norte,2019,Q1,Buprenorphine,118,F,,,5/4/2023
Del Norte,2019,Q2,Buprenorphine,115,F,,,5/4/2023
Del Norte,2019,Q3,Buprenorphine,126,F,,,5/4/2023
Del Norte,2019,Q4,Buprenorphine,130,F,,,5/4/2023
Del Norte,2020,Q1,Buprenorphine,126,F,,,5/4/2023
Del Norte,2020,Q2,Buprenorphine,127,F,,,5/4/2023
Del Norte,2020,Q3,Buprenorphine,121,F,,,5/4/2023
Del Norte,2020,Q4,Buprenorphine,119,F,,,5/4/2023
Del Norte,2021,Q1,Buprenorphine,120,F,,,5/4/2023
Del Norte,2021,Q2,Buprenorphine,126,F,,,5/4/2023
Del Norte,2021,Q3,Buprenorphine,128,F,,,5/4/2023
Del Norte,2021,Q4,Buprenorphine,127,F,,,5/4/2023
Del Norte,2022,Q1,Buprenorphine,128,F,,,5/4/2023
Del Norte,2022,Q2,Buprenorphine,127,P,,,5/4/2023
Del Norte,2022,Q3,Buprenorphine,127,P,,,5/4/2023
Del Norte,2022,Q4,Buprenorphine,128,P,,,5/4/2023
El Dorado,2010,Q1,Buprenorphine,14,F,,,5/4/2023
El Dorado,2010,Q2,Buprenorphine,14,F,,,5/4/2023
El Dorado,2010,Q3,Buprenorphine,16,F,,,5/4/2023
El Dorado,2010,Q4,Buprenorphine,17,F,,,5/4/2023
El Dorado,2011,Q1,Buprenorphine,13,F,,,5/4/2023
El Dorado,2011,Q2,Buprenorphine,22,F,,,5/4/2023
El Dorado,2011,Q3,Buprenorphine,18,F,,,5/4/2023
El Dorado,2011,Q4,Buprenorphine,19,F,,,5/4/2023
El Dorado,2012,Q1,Buprenorphine,24,F,,,5/4/2023
El Dorado,2012,Q2,Buprenorphine,23,F,,,5/4/2023
El Dorado,2012,Q3,Buprenorphine,23,F,,,5/4/2023
El Dorado,2012,Q4,Buprenorphine,28,F,,,5/4/2023
El Dorado,2013,Q1,Buprenorphine,35,F,,,5/4/2023
El Dorado,2013,Q2,Buprenorphine,30,F,,,5/4/2023
El Dorado,2013,Q3,Buprenorphine,30,F,,,5/4/2023
El Dorado,2013,Q4,Buprenorphine,35,F,,,5/4/2023
El Dorado,2014,Q1,Buprenorphine,50,F,,,5/4/2023
El Dorado,2014,Q2,Buprenorphine,61,F,,,5/4/2023
El Dorado,2014,Q3,Buprenorphine,61,F,,,5/4/2023
